,TIME,FLUX,FLUX_ERR
99,56210.4770717593,0.057732938747713174,0.0016025417209590536
24,56216.4256828704,0.07184075400812942,0.001185093978516358
231,56277.6701273148,0.09340187790453425,0.0011639375692976677
282,56283.8194328704,0.04552264268162764,0.0006536699793836859
165,56453.8437268519,0.06961871382603022,0.00023263826319600925
212,56454.3791550926,0.2789606759394332,0.0014068536851631153
276,56455.5117939815,0.09455915741870337,0.0003882135350173376
274,56456.0444328704,0.03125549759758717,0.00014742515926500054
210,56457.0472106481,0.08405776843301609,0.00031932986089416746
312,56458.1812384259,0.05823113822930441,0.0002809848420277774
222,56459.1090162037,0.057936629150761504,0.000215481297926648
331,56460.7180439815,0.02996833068962587,0.00010974648012773105
286,56461.3770717593,0.0790144095307299,0.0003156656183352967
74,56462.179849537,0.07591466636207102,0.0003087916063601641
98,56463.8506828704,0.06508260050093506,0.00023529883381352592
258,56464.7874884259,0.03204922592057321,0.00014874546081022186
17,56465.8534606481,0.06759246452141508,0.00027599455058105124
23,56466.1138773148,0.2353507788987152,0.0008545523477132992
103,56467.1159606481,0.05154529472761662,0.00023475699892503432
16,56468.248599537,0.02890557651158266,0.0002868698276389518
58,56468.9992939815,0.07998406143924597,0.000223732790657891
168,56470.2590046296,0.14785236670232074,0.0011476668472854637
337,56471.0513773148,0.04639166206440756,0.00019995993000401834
198,56472.1881712963,0.031130503184761953,0.00012145841885469437
257,56473.9201273148,0.07872913730794984,0.00037921246142090265
270,56474.1270717593,0.04045155441655965,0.00024845317955207567
18,56475.8645717593,0.057716841191789436,0.00019230812300602141
203,56476.9291550926,0.03441126074898233,0.00013173000864747018
85,56477.923599537,0.06811427101110308,0.00033116610563847267
396,56478.2013773148,0.20011435715637546,0.0015597922394924289
374,56479.6597106481,0.043673297133816597,0.0003252675507320823
178,56480.9256828704,0.0445066353706976,0.0008311620423838109
7,56484.9374884259,0.040066194328168034,0.0006222188938143843
156,56486.0708101852,0.14322528832437864,0.0006256688797478525
155,56488.9367939815,0.04497055930595069,0.00015935102453541172
200,56490.6117939815,0.20583205177487382,0.001167693590498075
140,56492.873599537,0.03724543620661973,0.00019648104752933358
299,56494.0124884259,0.14669898084617333,0.0006949734494513878
65,56496.7505324074,0.03643128294108149,0.000198656223312327
146,56504.7858680556,0.042119359412092425,0.00029223898741374333
243,56505.9090162037,0.06917489573688025,0.00027811950028050746
333,56506.5756828704,0.06789414680139072,0.0002842256385411808
54,56507.3763773148,0.06532991807757878,0.0002550723547831722
334,56508.9145717593,0.02979425001015207,0.0001441573898255153
11,56509.3104050926,0.07208020584592059,0.0002793714550218582
295,56510.9784606481,0.18294933733034296,0.0007609512639172763
152,56511.0513773148,0.056255351431977615,0.00020937822894135307
70,56512.779849537,0.03319231426727482,0.00013591778788060263
13,56513.0451273148,0.06453705000210766,0.0002746713984252188
370,56514.1791550926,0.22707007169300167,0.0009180519178515154
261,56515.6472106481,0.06472035434102483,0.0002447825472589788
120,56516.9229050926,0.049305967569727084,0.00032966675592010597
273,56517.9145717593,0.061071974443629655,0.00023233692269634523
313,56518.1194212963,0.21314177098638395,0.0009233033289994278
352,56519.3826273148,0.06825879959001091,0.0002448961161982427
381,56520.7208217593,0.03590905720696544,0.00017206278462195755
196,56521.917349537,0.07260134013126214,0.000274898671578521
297,56523.7916550926,0.0486018638732644,0.0002007789511285822
30,56524.6597106481,0.03100232637273798,0.000121281102501164
289,56525.6534490741,0.1620892942750406,0.0006473296754385541
324,56526.5888773148,0.1684494502935113,0.0009638058228575319
106,56528.7958217593,0.03380247231414532,0.00010712984440121014
407,56529.0097106481,0.07114000724080904,0.00021385986723883627
285,56530.9381828704,0.23691845949997065,0.0012062749898881179
138,56531.1458217593,0.04377343947822658,0.00017360159840458303
181,56532.0097106481,0.027821223144473894,0.00012772145999882144
149,56533.4784490741,0.09946085219511362,0.0002743190389409055
234,56534.0722222222,0.31015523049694027,0.001691312901233459
